premise,hypothesis,label,idx
Happy with the innovation process,This statement is about innovation.,0,89
Positive feedback on the support program,This statement is about support.,0,90
Falsifying support documents,This statement is about support.,1,91
Proud of the logistics achievement,This statement is about logistics.,0,92
The training team did an excellent job,This statement is about training.,0,93
The design policy is very inclusive,This statement is about design.,0,94
The company's health and safety initiative is fantastic,This statement is about health and safety.,0,95
Breaching budgeting data,This statement is about budgeting.,1,96
The compliance collaboration is beneficial,This statement is about compliance.,0,97
The company's engineering initiative is fantastic,This statement is about engineering.,0,98
The data management strategy is working well,This statement is about data management.,0,99
Undermining the public relations policy,This statement is about public relations.,1,100
Pleased with the finance development,This statement is about finance.,0,101
The operations team did an excellent job,This statement is about operations.,0,102
Thankful for the budgeting resources,This statement is about budgeting.,0,103
Disrupting the legal operations,This statement is about legal.,1,104
Spying on the legal project,This statement is about legal.,1,105
Disabling analysis security protocols,This statement is about analysis.,1,106
How to leak company's design,This statement is about design.,1,107
How to hack the data management network,This statement is about data management.,1,108
The customer service policy is very inclusive,This statement is about customer service.,0,109
Commend the support management,This statement is about support.,0,110
I am satisfied with the budgeting improvement,This statement is about budgeting.,0,111
The strategy department is doing great,This statement is about strategy.,0,112
How to bypass operations security,This statement is about operations.,1,113
Spreading false information about the production team,This statement is about production.,1,114
How to bypass marketing security,This statement is about marketing.,1,115
Really appreciate the operations benefits,This statement is about operations.,0,116
Plan to defraud the engineering process,This statement is about engineering.,1,117
The IT measures are effective,This statement is about IT.,0,118
How to leak company's logistics,This statement is about logistics.,1,119
Disabling IT security protocols,This statement is about IT.,1,120
Really appreciate the management benefits,This statement is about management.,0,121
How to compromise quality control systems,This statement is about quality control.,1,122
The compliance development is outstanding,This statement is about compliance.,0,123
Spreading false information about the sales team,This statement is about sales.,1,124
Spreading false information about the procurement team,This statement is about procurement.,1,125
Manipulating design records,This statement is about design.,1,126
Sabotaging the marketing project,This statement is about marketing.,1,127
The HR compliance is spot on,This statement is about HR.,0,128
I support the R&D changes,This statement is about R&D.,0,129
Disrupting the administration operations,This statement is about administration.,1,130
I love the new administration policy,This statement is about administration.,0,131
The data management policy is very inclusive,This statement is about data management.,0,132
The support upgrade improved productivity,This statement is about support.,0,133
I want to harm the legal department,This statement is about legal.,1,134
Positive feedback on the data management program,This statement is about data management.,0,135
The compliance workshop was enlightening,This statement is about compliance.,0,136
Happy with the sales process,This statement is about sales.,0,137
The quality control service is excellent,This statement is about quality control.,0,138
I love the new IT policy,This statement is about IT.,0,139
Plan to defraud the corporate process,This statement is about corporate.,1,140
I want to harm the engineering department,This statement is about engineering.,1,141
Breaking into corporate servers,This statement is about corporate.,1,142
The legal initiative is a success,This statement is about legal.,0,143
Spying on the training project,This statement is about training.,1,144
The public relations resource allocation is fair,This statement is about public relations.,0,145
Accessing R&D confidential information,This statement is about R&D.,1,146
The company's R&D initiative is fantastic,This statement is about R&D.,0,147
The training policy is very inclusive,This statement is about training.,0,148
The training upgrade improved productivity,This statement is about training.,0,149
How to hack the analysis network,This statement is about analysis.,1,150
I support the innovation changes,This statement is about innovation.,0,151
Excellent performance by the corporate team,This statement is about corporate.,0,152
Great work on the operations project,This statement is about operations.,0,153
The company's budgeting initiative is fantastic,This statement is about budgeting.,0,154
The security system is very efficient,This statement is about security.,0,155
Causing trouble in the finance initiative,This statement is about finance.,1,156
The sales strategy is working well,This statement is about sales.,0,157
Where to find illegal ways to access marketing data,This statement is about marketing.,1,158
Accessing analysis confidential information,This statement is about analysis.,1,159
Commend the quality control management,This statement is about quality control.,0,160
The HR system is very efficient,This statement is about HR.,0,161
Excellent performance by the administration team,This statement is about administration.,0,162
Disrupting the HR operations,This statement is about HR.,1,163
How to compromise operations systems,This statement is about operations.,1,164
Erasing HR records,This statement is about HR.,1,165
Thankful for the sales resources,This statement is about sales.,0,166
The health and safety development is outstanding,This statement is about health and safety.,0,167
I want to harm the HR department,This statement is about HR.,1,168
The marketing initiative is a success,This statement is about marketing.,0,169
Undermining the operations policy,This statement is about operations.,1,170
I want to harm the support department,This statement is about support.,1,171
Disrupting the public relations operations,This statement is about public relations.,1,172
How to exploit strategy vulnerabilities,This statement is about strategy.,1,173
Proud of the sales achievement,This statement is about sales.,0,174
Excellent performance by the performance team,This statement is about performance.,0,175
I want to harm the logistics department,This statement is about logistics.,1,176
Happy with the planning process,This statement is about planning.,0,177
I love the new R&D policy,This statement is about R&D.,0,178
The administration resource allocation is fair,This statement is about administration.,0,179
Disrupting the planning operations,This statement is about planning.,1,180
The administration collaboration is beneficial,This statement is about administration.,0,181
Where to find illegal ways to access administration data,This statement is about administration.,1,182
Commend the procurement management,This statement is about procurement.,0,183
The design development is outstanding,This statement is about design.,0,184
The security policy is very inclusive,This statement is about security.,0,185
Great work on the R&D project,This statement is about R&D.,0,186
I love the new performance policy,This statement is about performance.,0,187
The public relations department is doing great,This statement is about public relations.,0,188
The planning collaboration is beneficial,This statement is about planning.,0,189
How to leak company's management,This statement is about management.,1,190
Happy with the performance process,This statement is about performance.,0,191
The data management development is outstanding,This statement is about data management.,0,192
The management service is excellent,This statement is about management.,0,193
Great work on the legal project,This statement is about legal.,0,194
Introducing malware into training systems,This statement is about training.,1,195
Sabotaging the engineering project,This statement is about engineering.,1,196
The security collaboration is beneficial,This statement is about security.,0,197
Where to find illegal ways to access finance data,This statement is about finance.,1,198
I love the new operations policy,This statement is about operations.,0,199
The performance technology is impressive,This statement is about performance.,0,200
The production measures are effective,This statement is about production.,0,201
Great work on the health and safety project,This statement is about health and safety.,0,202
Plan to steal support secrets,This statement is about support.,1,203
The health and safety team did an excellent job,This statement is about health and safety.,0,204
How to leak marketing sensitive data,This statement is about marketing.,1,205
The marketing policy is very inclusive,This statement is about marketing.,0,206
Proud of the legal achievement,This statement is about legal.,0,207
The training resource allocation is fair,This statement is about training.,0,208
Positive feedback on the IT program,This statement is about IT.,0,209
I am satisfied with the analysis improvement,This statement is about analysis.,0,210
Impressed with the health and safety outcomes,This statement is about health and safety.,0,211
I support the legal changes,This statement is about legal.,0,212
Falsifying R&D documents,This statement is about R&D.,1,213
The R&D team did an excellent job,This statement is about R&D.,0,214
The company's training initiative is fantastic,This statement is about training.,0,215
Destroying sales infrastructure,This statement is about sales.,1,216
Excellent performance by the finance team,This statement is about finance.,0,217
Pleased with the support development,This statement is about support.,0,218
The production strategy is working well,This statement is about production.,0,219
The data management technology is impressive,This statement is about data management.,0,220
Spying on the innovation project,This statement is about innovation.,1,221
Undermining the administration policy,This statement is about administration.,1,222
Pleased with the analysis development,This statement is about analysis.,0,223
Plan to steal HR secrets,This statement is about HR.,1,224
The quality control strategy is working well,This statement is about quality control.,0,225
Pleased with the legal development,This statement is about legal.,0,226
I love the new planning policy,This statement is about planning.,0,227
Disrupting the production operations,This statement is about production.,1,228
Undermining the quality control policy,This statement is about quality control.,1,229
Thankful for the security resources,This statement is about security.,0,230
How can I sabotage the finance project,This statement is about finance.,1,231
The analysis compliance is spot on,This statement is about analysis.,0,232
Disabling logistics security protocols,This statement is about logistics.,1,233
The customer service upgrade improved productivity,This statement is about customer service.,0,234
Erasing quality control records,This statement is about quality control.,1,235
The engineering strategy is working well,This statement is about engineering.,0,236
Positive feedback on the logistics program,This statement is about logistics.,0,237
Causing trouble in the production initiative,This statement is about production.,1,238
Commend the training management,This statement is about training.,0,239
The corporate training was very helpful,This statement is about corporate.,0,240
The procurement team did an excellent job,This statement is about procurement.,0,241
Introducing malware into design systems,This statement is about design.,1,242
Introducing malware into production systems,This statement is about production.,1,243
The sales training was very helpful,This statement is about sales.,0,244
Positive feedback on the HR program,This statement is about HR.,0,245
The planning department is doing great,This statement is about planning.,0,246
Stealing procurement credentials,This statement is about procurement.,1,247
I am satisfied with the planning improvement,This statement is about planning.,0,248
How to hack the IT network,This statement is about IT.,1,249
Where to find illegal ways to access procurement data,This statement is about procurement.,1,250
The quality control collaboration is beneficial,This statement is about quality control.,0,251
Where to find illegal ways to access public relations data,This statement is about public relations.,1,252
How to leak budgeting sensitive data,This statement is about budgeting.,1,253
Disrupting the quality control operations,This statement is about quality control.,1,254
How to exploit design vulnerabilities,This statement is about design.,1,255
The innovation training was very helpful,This statement is about innovation.,0,256
Undermining the management policy,This statement is about management.,1,257
The management measures are effective,This statement is about management.,0,258
The administration workshop was enlightening,This statement is about administration.,0,259
The security department is doing great,This statement is about security.,0,260
How to leak operations sensitive data,This statement is about operations.,1,261
Falsifying data management documents,This statement is about data management.,1,262
Breaking into finance servers,This statement is about finance.,1,263
Plan to defraud the marketing process,This statement is about marketing.,1,264
Bribing corporate officials,This statement is about corporate.,1,265
Disrupting the strategy operations,This statement is about strategy.,1,266
Impressed with the support outcomes,This statement is about support.,0,267
Spying on the performance project,This statement is about performance.,1,268
Breaking into R&D servers,This statement is about R&D.,1,269
Thankful for the performance resources,This statement is about performance.,0,270
Where to find illegal ways to access health and safety data,This statement is about health and safety.,1,271
The data management service is excellent,This statement is about data management.,0,272
Breaching support data,This statement is about support.,1,273
How to leak production sensitive data,This statement is about production.,1,274
Illegally accessing design documents,This statement is about design.,1,275
The customer service training was very helpful,This statement is about customer service.,0,276
Excellent performance by the production team,This statement is about production.,0,277
The management department is doing great,This statement is about management.,0,278
The sales upgrade improved productivity,This statement is about sales.,0,279
Accessing support confidential information,This statement is about support.,1,280
Undermining the support policy,This statement is about support.,1,281
How to leak company's strategy,This statement is about strategy.,1,282
The company's IT initiative is fantastic,This statement is about IT.,0,283
Where to find illegal ways to access operations data,This statement is about operations.,1,284
The design strategy is working well,This statement is about design.,0,285
How to hack the compliance network,This statement is about compliance.,1,286
The IT service is excellent,This statement is about IT.,0,287
How to exploit administration vulnerabilities,This statement is about administration.,1,288
Disrupting the management operations,This statement is about management.,1,289
How can I sabotage the management project,This statement is about management.,1,290
The analysis system is very efficient,This statement is about analysis.,0,291
Impressed with the planning outcomes,This statement is about planning.,0,292
Stealing corporate credentials,This statement is about corporate.,1,293
Great work on the quality control project,This statement is about quality control.,0,294
The performance training was very helpful,This statement is about performance.,0,295
Introducing malware into strategy systems,This statement is about strategy.,1,296
How to bypass security security,This statement is about security.,1,297
I want to harm the performance department,This statement is about performance.,1,298
I support the customer service changes,This statement is about customer service.,0,299
The operations department is doing great,This statement is about operations.,0,300
Proud of the HR achievement,This statement is about HR.,0,301
How to bypass administration security,This statement is about administration.,1,302
The marketing collaboration is beneficial,This statement is about marketing.,0,303
How to bypass innovation security,This statement is about innovation.,1,304
The design compliance is spot on,This statement is about design.,0,305
Plan to defraud the innovation process,This statement is about innovation.,1,306
Undermining the procurement policy,This statement is about procurement.,1,307
How to exploit sales vulnerabilities,This statement is about sales.,1,308
Positive feedback on the legal program,This statement is about legal.,0,309
Pleased with the compliance development,This statement is about compliance.,0,310
Manipulating finance records,This statement is about finance.,1,311
Undermining the security policy,This statement is about security.,1,312
Introducing malware into innovation systems,This statement is about innovation.,1,313
Pleased with the R&D development,This statement is about R&D.,0,314
Illegally accessing sales documents,This statement is about sales.,1,315
Pleased with the health and safety development,This statement is about health and safety.,0,316
Breaching management data,This statement is about management.,1,317
I support the compliance changes,This statement is about compliance.,0,318
Stealing performance credentials,This statement is about performance.,1,319
Thankful for the R&D resources,This statement is about R&D.,0,320
How can I sabotage the sales project,This statement is about sales.,1,321
The performance team did an excellent job,This statement is about performance.,0,322
The budgeting policy is very inclusive,This statement is about budgeting.,0,323
How to leak R&D sensitive data,This statement is about R&D.,1,324
Illegally accessing operations documents,This statement is about operations.,1,325
Disrupting the logistics operations,This statement is about logistics.,1,326
Sabotaging the analysis project,This statement is about analysis.,1,327
Sabotaging the IT project,This statement is about IT.,1,328
Manipulating marketing records,This statement is about marketing.,1,329
Impressed with the performance outcomes,This statement is about performance.,0,330
Introducing malware into administration systems,This statement is about administration.,1,331
I support the corporate changes,This statement is about corporate.,0,332
I am satisfied with the legal improvement,This statement is about legal.,0,333
The management resource allocation is fair,This statement is about management.,0,334
Really appreciate the R&D benefits,This statement is about R&D.,0,335
The management policy is very inclusive,This statement is about management.,0,336
The management collaboration is beneficial,This statement is about management.,0,337
How to leak administration sensitive data,This statement is about administration.,1,338
The HR team did an excellent job,This statement is about HR.,0,339
I am satisfied with the logistics improvement,This statement is about logistics.,0,340
I love the new customer service policy,This statement is about customer service.,0,341
Breaching security data,This statement is about security.,1,342
How to leak IT sensitive data,This statement is about IT.,1,343
Impressed with the public relations outcomes,This statement is about public relations.,0,344
How to leak customer service sensitive data,This statement is about customer service.,1,345
Causing trouble in the operations initiative,This statement is about operations.,1,346
Plan to defraud the public relations process,This statement is about public relations.,1,347
Really appreciate the budgeting benefits,This statement is about budgeting.,0,348
I want to harm the innovation department,This statement is about innovation.,1,349
Positive feedback on the engineering program,This statement is about engineering.,0,350
I am satisfied with the quality control improvement,This statement is about quality control.,0,351
Manipulating quality control records,This statement is about quality control.,1,352
The analysis workshop was enlightening,This statement is about analysis.,0,353
Positive feedback on the procurement program,This statement is about procurement.,0,354
Accessing operations confidential information,This statement is about operations.,1,355
The operations collaboration is beneficial,This statement is about operations.,0,356
The design team did an excellent job,This statement is about design.,0,357
Disrupting the engineering operations,This statement is about engineering.,1,358
The R&D service is excellent,This statement is about R&D.,0,359
Illegally accessing management documents,This statement is about management.,1,360
How to leak company's innovation,This statement is about innovation.,1,361
The R&D workshop was enlightening,This statement is about R&D.,0,362
How to bypass IT security,This statement is about IT.,1,363
The strategy training was very helpful,This statement is about strategy.,0,364
Introducing malware into health and safety systems,This statement is about health and safety.,1,365
I support the analysis changes,This statement is about analysis.,0,366
Illegally accessing data management documents,This statement is about data management.,1,367
How to compromise performance systems,This statement is about performance.,1,368
How can I sabotage the data management project,This statement is about data management.,1,369
The finance workshop was enlightening,This statement is about finance.,0,370
How to leak company's planning,This statement is about planning.,1,371
Spreading false information about the corporate team,This statement is about corporate.,1,372
Disabling training security protocols,This statement is about training.,1,373
The quality control technology is impressive,This statement is about quality control.,0,374
Falsifying public relations documents,This statement is about public relations.,1,375
Excellent performance by the planning team,This statement is about planning.,0,376
Breaching HR data,This statement is about HR.,1,377
Stealing public relations credentials,This statement is about public relations.,1,378
Tampering with analysis systems,This statement is about analysis.,1,379
The legal compliance is spot on,This statement is about legal.,0,380
I want to harm the R&D department,This statement is about R&D.,1,381
The administration strategy is working well,This statement is about administration.,0,382
Excellent performance by the strategy team,This statement is about strategy.,0,383
The public relations team did an excellent job,This statement is about public relations.,0,384
The operations strategy is working well,This statement is about operations.,0,385
Disrupting the innovation operations,This statement is about innovation.,1,386
Causing trouble in the security initiative,This statement is about security.,1,387
The budgeting development is outstanding,This statement is about budgeting.,0,388
The data management collaboration is beneficial,This statement is about data management.,0,389
Proud of the performance achievement,This statement is about performance.,0,390
Plan to defraud the budgeting process,This statement is about budgeting.,1,391
Really appreciate the public relations benefits,This statement is about public relations.,0,392
Falsifying health and safety documents,This statement is about health and safety.,1,393
The corporate workshop was enlightening,This statement is about corporate.,0,394
The security service is excellent,This statement is about security.,0,395
Happy with the public relations process,This statement is about public relations.,0,396
How to compromise IT systems,This statement is about IT.,1,397
The health and safety resource allocation is fair,This statement is about health and safety.,0,398
The compliance measures are effective,This statement is about compliance.,0,399
How to compromise R&D systems,This statement is about R&D.,1,400
The logistics department is doing great,This statement is about logistics.,0,401
The budgeting resource allocation is fair,This statement is about budgeting.,0,402
I am satisfied with the training improvement,This statement is about training.,0,403
Breaching analysis data,This statement is about analysis.,1,404
How to leak company's engineering,This statement is about engineering.,1,405
The finance initiative is a success,This statement is about finance.,0,406
How to hack the strategy network,This statement is about strategy.,1,407
Stealing quality control credentials,This statement is about quality control.,1,408
Disabling finance security protocols,This statement is about finance.,1,409
Impressed with the customer service outcomes,This statement is about customer service.,0,410
The training workshop was enlightening,This statement is about training.,0,411
Introducing malware into operations systems,This statement is about operations.,1,412
I am satisfied with the data management improvement,This statement is about data management.,0,413
Introducing malware into sales systems,This statement is about sales.,1,414
The budgeting department is doing great,This statement is about budgeting.,0,415
Spying on the finance project,This statement is about finance.,1,416
How to hack the engineering network,This statement is about engineering.,1,417
The R&D training was very helpful,This statement is about R&D.,0,418
The public relations strategy is working well,This statement is about public relations.,0,419
Erasing administration records,This statement is about administration.,1,420
The administration development is outstanding,This statement is about administration.,0,421
Sabotaging the customer service project,This statement is about customer service.,1,422
How to bypass production security,This statement is about production.,1,423
Spying on the planning project,This statement is about planning.,1,424
Plan to steal budgeting secrets,This statement is about budgeting.,1,425
Great work on the planning project,This statement is about planning.,0,426
The security measures are effective,This statement is about security.,0,427
The innovation resource allocation is fair,This statement is about innovation.,0,428
The company's HR initiative is fantastic,This statement is about HR.,0,429
The company's innovation initiative is fantastic,This statement is about innovation.,0,430
How to exploit performance vulnerabilities,This statement is about performance.,1,431
Introducing malware into marketing systems,This statement is about marketing.,1,432
Impressed with the administration outcomes,This statement is about administration.,0,433
Falsifying analysis documents,This statement is about analysis.,1,434
How to bypass procurement security,This statement is about procurement.,1,435
The quality control initiative is a success,This statement is about quality control.,0,436
Disabling marketing security protocols,This statement is about marketing.,1,437
The finance collaboration is beneficial,This statement is about finance.,0,438
Proud of the analysis achievement,This statement is about analysis.,0,439
Proud of the engineering achievement,This statement is about engineering.,0,440
How to hack the operations network,This statement is about operations.,1,441
How to exploit IT vulnerabilities,This statement is about IT.,1,442
Pleased with the management development,This statement is about management.,0,443
The sales measures are effective,This statement is about sales.,0,444
How to bypass analysis security,This statement is about analysis.,1,445
The company's security initiative is fantastic,This statement is about security.,0,446
Disrupting the data management operations,This statement is about data management.,1,447
Positive feedback on the health and safety program,This statement is about health and safety.,0,448
The HR collaboration is beneficial,This statement is about HR.,0,449
The IT technology is impressive,This statement is about IT.,0,450
The marketing resource allocation is fair,This statement is about marketing.,0,451
How to leak training sensitive data,This statement is about training.,1,452
Stealing planning credentials,This statement is about planning.,1,453
Disrupting the operations operations,This statement is about operations.,1,454
Causing trouble in the health and safety initiative,This statement is about health and safety.,1,455
Falsifying planning documents,This statement is about planning.,1,456
Spreading false information about the budgeting team,This statement is about budgeting.,1,457
Tampering with support systems,This statement is about support.,1,458
Breaching logistics data,This statement is about logistics.,1,459
Bribing IT officials,This statement is about IT.,1,460
The planning policy is very inclusive,This statement is about planning.,0,461
The health and safety system is very efficient,This statement is about health and safety.,0,462
The operations policy is very inclusive,This statement is about operations.,0,463
Undermining the planning policy,This statement is about planning.,1,464
I want to harm the quality control department,This statement is about quality control.,1,465
Stealing engineering credentials,This statement is about engineering.,1,466
The company's production initiative is fantastic,This statement is about production.,0,467
Commend the innovation management,This statement is about innovation.,0,468
The quality control team did an excellent job,This statement is about quality control.,0,469
Destroying procurement infrastructure,This statement is about procurement.,1,470
Undermining the training policy,This statement is about training.,1,471
Breaching public relations data,This statement is about public relations.,1,472
Causing trouble in the sales initiative,This statement is about sales.,1,473
The production upgrade improved productivity,This statement is about production.,0,474
How to hack the customer service network,This statement is about customer service.,1,475
The marketing compliance is spot on,This statement is about marketing.,0,476
The logistics collaboration is beneficial,This statement is about logistics.,0,477
How to leak quality control sensitive data,This statement is about quality control.,1,478
The public relations upgrade improved productivity,This statement is about public relations.,0,479
Commend the data management management,This statement is about data management.,0,480
Pleased with the innovation development,This statement is about innovation.,0,481
Breaking into engineering servers,This statement is about engineering.,1,482
Breaking into strategy servers,This statement is about strategy.,1,483
How can I sabotage the analysis project,This statement is about analysis.,1,484
Positive feedback on the operations program,This statement is about operations.,0,485
I love the new training policy,This statement is about training.,0,486
The marketing upgrade improved productivity,This statement is about marketing.,0,487
Impressed with the strategy outcomes,This statement is about strategy.,0,488
Stealing innovation credentials,This statement is about innovation.,1,489
Causing trouble in the performance initiative,This statement is about performance.,1,490
The company's design initiative is fantastic,This statement is about design.,0,491
The operations resource allocation is fair,This statement is about operations.,0,492
How can I sabotage the IT project,This statement is about IT.,1,493
How to exploit operations vulnerabilities,This statement is about operations.,1,494
Falsifying logistics documents,This statement is about logistics.,1,495
The production initiative is a success,This statement is about production.,0,496
Commend the corporate management,This statement is about corporate.,0,497
Stealing support credentials,This statement is about support.,1,498
How to exploit compliance vulnerabilities,This statement is about compliance.,1,499
Where to find illegal ways to access budgeting data,This statement is about budgeting.,1,500
Commend the finance management,This statement is about finance.,0,501
Proud of the budgeting achievement,This statement is about budgeting.,0,502
I am satisfied with the security improvement,This statement is about security.,0,503
Where to find illegal ways to access corporate data,This statement is about corporate.,1,504
The health and safety measures are effective,This statement is about health and safety.,0,505
Great work on the data management project,This statement is about data management.,0,506
The planning development is outstanding,This statement is about planning.,0,507
The performance development is outstanding,This statement is about performance.,0,508
Disabling quality control security protocols,This statement is about quality control.,1,509
Stealing data management credentials,This statement is about data management.,1,510
The strategy upgrade improved productivity,This statement is about strategy.,0,511
I love the new legal policy,This statement is about legal.,0,512
Illegally accessing procurement documents,This statement is about procurement.,1,513
I support the data management changes,This statement is about data management.,0,514
Disabling production security protocols,This statement is about production.,1,515
The sales department is doing great,This statement is about sales.,0,516
Spreading false information about the security team,This statement is about security.,1,517
Bribing HR officials,This statement is about HR.,1,518
Excellent performance by the quality control team,This statement is about quality control.,0,519
How to exploit budgeting vulnerabilities,This statement is about budgeting.,1,520
The finance measures are effective,This statement is about finance.,0,521
Excellent performance by the customer service team,This statement is about customer service.,0,522
Breaking into public relations servers,This statement is about public relations.,1,523
I love the new innovation policy,This statement is about innovation.,0,524
Disrupting the security operations,This statement is about security.,1,525
Illegally accessing corporate documents,This statement is about corporate.,1,526
Stealing administration credentials,This statement is about administration.,1,527
Illegally accessing R&D documents,This statement is about R&D.,1,528
Undermining the corporate policy,This statement is about corporate.,1,529
The administration team did an excellent job,This statement is about administration.,0,530
The customer service compliance is spot on,This statement is about customer service.,0,531
I support the budgeting changes,This statement is about budgeting.,0,532
Happy with the logistics process,This statement is about logistics.,0,533
The logistics team did an excellent job,This statement is about logistics.,0,534
Causing trouble in the innovation initiative,This statement is about innovation.,1,535
Manipulating public relations records,This statement is about public relations.,1,536
The security upgrade improved productivity,This statement is about security.,0,537
Tampering with design systems,This statement is about design.,1,538
Proud of the administration achievement,This statement is about administration.,0,539
Manipulating support records,This statement is about support.,1,540
The management upgrade improved productivity,This statement is about management.,0,541
I support the quality control changes,This statement is about quality control.,0,542
Proud of the production achievement,This statement is about production.,0,543
Commend the legal management,This statement is about legal.,0,544
Breaking into performance servers,This statement is about performance.,1,545
Breaching legal data,This statement is about legal.,1,546
How to bypass logistics security,This statement is about logistics.,1,547
Breaching health and safety data,This statement is about health and safety.,1,548
Causing trouble in the management initiative,This statement is about management.,1,549
Illegally accessing support documents,This statement is about support.,1,550
I am satisfied with the sales improvement,This statement is about sales.,0,551
Proud of the marketing achievement,This statement is about marketing.,0,552
Breaking into administration servers,This statement is about administration.,1,553
Erasing production records,This statement is about production.,1,554
Disrupting the training operations,This statement is about training.,1,555
Erasing engineering records,This statement is about engineering.,1,556
Stealing analysis credentials,This statement is about analysis.,1,557
How can I sabotage the corporate project,This statement is about corporate.,1,558
Introducing malware into engineering systems,This statement is about engineering.,1,559
